Route_ID,Direction,Loading_Port,Loading_Country,Loading_Terminal,Discharge_Port,Discharge_Country,Discharge_Refinery_or_Terminal,Chokepoints_Waypoints,Distance_Nautical_Miles,Distance_km,Approx_Voyage_Days_at_14kts,Typical_Vessel_Class,Notes,Bunkering_Port
R01,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Vadinar,India,Nayara Energy Vadinar Refinery / IOC SBM,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1650,3056,5.0,VLCC / Suezmax,Primary Saudi crude route; highest volume corridor for SCI. Strait of Hormuz transit mandatory.,Fujairah
R02,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Mundra,India,Adani Mundra Tank Farm,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1620,3000,4.9,VLCC / Suezmax,SCI lifts Saudi Arab Light / Arab Heavy for HPCL and IOC inland refineries via Mundra.,Fujairah
R03,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Mumbai (Jawahar Dweep),India,BPCL Mumbai Refinery / HPCL Mahul,Strait of Hormuz → Gulf of Oman → Arabian Sea,1720,3185,5.2,Suezmax / Aframax,Regular SCI route; BPCL and HPCL contractual liftings from Saudi Aramco.,Fujairah
R04,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Kochi (Cochin),India,BPCL Kochi Refinery (Ambalamugal),Strait of Hormuz → Gulf of Oman → Arabian Sea → Laccadive Sea,1870,3463,5.6,Suezmax,Longest west-coast India destination from Ras Tanura among major ports.,Fujairah
R05,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Paradip,India,IOC Paradip Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal,3450,6390,10.3,VLCC (STS/Lightering offshore) / Suezmax,Longest ME→India east-coast route; vessel may do STS lightering off Paradip due to draft limits.,Fujairah + Singapore
R06,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Haldia,India,IOC Haldia Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal → Hooghly River approaches,3600,6667,10.7,Aframax / Suezmax,Draft restrictions on Hooghly River; typically Aframax or smaller Suezmax; SCI operates COA for IOC.,Fujairah + Singapore
R07,ME→India,Ras Tanura,Saudi Arabia,Ras Tanura Marine Terminal (Saudi Aramco),Vishakhapatnam (Vizag),India,HPCL Vizag Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal,3200,5926,9.5,Suezmax / Aframax,SCI serves HPCL Vizag under Contract of Affreightment.,Fujairah + Singapore
R08,ME→India,Jebel Dhanna / Ruwais,UAE,ADNOC Jebel Dhanna Terminal,Vadinar,India,Nayara Energy Vadinar Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1530,2833,4.6,VLCC / Suezmax,ADNOC Murban crude lifted by SCI; one of the shortest Middle East→India routes.,Fujairah
R09,ME→India,Jebel Dhanna / Ruwais,UAE,ADNOC Jebel Dhanna Terminal,Mumbai (Jawahar Dweep),India,BPCL Mumbai Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea,1600,2963,4.8,Suezmax,ADNOC / UAE crude for BPCL Mumbai.,Fujairah
R10,ME→India,Mina Al Ahmadi,Kuwait,Kuwait Petroleum Corporation Terminal,Vadinar,India,Nayara Energy Vadinar Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1700,3148,5.1,VLCC / Suezmax,Kuwait Export Crude (KEC) transported by SCI under KPC COA arrangements.,Fujairah
R11,ME→India,Mina Al Ahmadi,Kuwait,Kuwait Petroleum Corporation Terminal,Mumbai (Jawahar Dweep),India,BPCL / HPCL Mumbai,Strait of Hormuz → Gulf of Oman → Arabian Sea,1770,3278,5.3,Suezmax,Regular Kuwait→Mumbai SCI sailing.,Fujairah
R12,ME→India,Mina Al Ahmadi,Kuwait,Kuwait Petroleum Corporation Terminal,Kochi (Cochin),India,BPCL Kochi Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea,1920,3556,5.7,Suezmax,KEC for BPCL Kochi.,Fujairah
R13,ME→India,Kharg Island,Iran,NIOC Kharg Island Terminal,Vadinar,India,Nayara Energy Vadinar Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → Gulf of Kutch,1800,3334,5.4,VLCC / Suezmax,Iranian crude (subject to sanction status); Kharg handles ~90% of Iran's crude exports; SCI lifts when permitted.,Fujairah
R14,ME→India,Kharg Island,Iran,NIOC Kharg Island Terminal,Mumbai (Jawahar Dweep),India,BPCL / HPCL Mumbai,Strait of Hormuz → Gulf of Oman → Arabian Sea,1870,3463,5.6,Suezmax,Iranian Heavy / Iranian Light crude for Mumbai refineries.,Fujairah
R15,ME→India,Kharg Island,Iran,NIOC Kharg Island Terminal,Paradip,India,IOC Paradip Refinery,Strait of Hormuz → Gulf of Oman → Arabian Sea → around Sri Lanka → Bay of Bengal,3560,6593,10.6,Suezmax (via lightering),Long-haul east coast route from Iran.,Fujairah + Singapore
